[0.78539816 0.        ],[ 0.70710678 -0.70710678]
[ 0.78505146 -0.06932449],[ 0.70686158 -0.70735189]
[ 0.78401206 -0.1385316 ],[ 0.70612598 -0.70808622]
[ 0.78228138 -0.20757334],[ 0.70489945 -0.70930724]
[ 0.77986131 -0.2764017 ],[ 0.70318082 -0.71101107]
[ 0.77675422 -0.34496855],[ 0.70096825 -0.71319248]
[ 0.77296297 -0.41322561],[ 0.69825933 -0.71584489]
[ 0.7684909  -0.48112437],[ 0.69505105 -0.71896039]
[ 0.76334184 -0.54861607],[ 0.69133988 -0.7225297 ]
[ 0.7575201 -0.6156516],[ 0.68712181 -0.72654224]
[ 0.75103049 -0.68218151],[ 0.6823924  -0.73098606]
[ 0.74387832 -0.74815593],[ 0.67714685 -0.73584791]
[ 0.73606939 -0.81352457],[ 0.67138008 -0.74111321]
[ 0.72761002 -0.87823665],[ 0.66508678 -0.74676608]
[ 0.71850702 -0.94224096],[ 0.65826151 -0.75278934]
[ 0.70876773 -1.00548576],[ 0.65089877 -0.75916453]
[ 0.69840001 -1.06791884],[ 0.64299312 -0.76587195]
[ 0.68741224 -1.12948753],[ 0.63453925 -0.77289064]
[ 0.67581332 -1.19013868],[ 0.62553207 -0.78019845]
[ 0.6636127  -1.24981872],[ 0.61596685 -0.78777207]
[ 0.65082036 -1.30847369],[ 0.60583928 -0.79558706]
[ 0.63744682 -1.36604929],[ 0.59514561 -0.80361789]
[ 0.62350316 -1.42249092],[ 0.58388273 -0.81183801]
[ 0.60900097 -1.4777438 ],[ 0.57204832 -0.82021992]
[ 0.59395243 -1.53175299],[ 0.5596409  -0.82873522]
[ 0.57837024 -1.58446352],[ 0.54665997 -0.83735469]
[ 0.56226767 -1.63582047],[ 0.53310612 -0.84604838]
[ 0.54565852 -1.68576909],[ 0.5189811  -0.85478571]
[ 0.52855716 -1.73425493],[ 0.50428792 -0.86353557]
[ 0.51097848 -1.78122394],[ 0.48903098 -0.87226642]
[ 0.49293792 -1.82662263],[ 0.47321607 -0.88094639]
[ 0.47445144 -1.87039822],[ 0.45685055 -0.88954347]
[ 0.45553554 -1.91249876],[ 0.4399433  -0.89802555]
[ 0.43620722 -1.9528733 ],[ 0.42250488 -0.90636065]
[ 0.41648399 -1.99147209],[ 0.40454751 -0.91451698]
[ 0.39638386 -2.02824667],[ 0.38608512 -0.92246316]
[ 0.37592529 -2.06315011],[ 0.36713337 -0.93016831]
[ 0.35512724 -2.09613714],[ 0.34770967 -0.93760225]
[ 0.33400909 -2.12716432],[ 0.32783318 -0.94473563]
[ 0.31259063 -2.15619022],[ 0.30752475 -0.95154008]
[ 0.29089208 -2.18317559],[ 0.28680694 -0.9579884 ]
[ 0.26893404 -2.20808349],[ 0.26570395 -0.96405467]
[ 0.24673745 -2.23087949],[ 0.24424153 -0.96971443]
[ 0.2243236  -2.25153177],[ 0.22244696 -0.97494479]
[ 0.20171406 -2.27001132],[ 0.20034893 -0.97972461]
[ 0.1789307 -2.286292 ],[ 0.17797745 -0.98403457]
[ 0.15599563 -2.30035073],[ 0.15536372 -0.98785734]
[ 0.13293116 -2.31216754],[ 0.13254001 -0.99117766]
[ 0.10975981 -2.32172571],[ 0.10953956 -0.99398244]
[ 0.08650422 -2.32901184],[ 0.08639638 -0.99626084]
[ 0.06318718 -2.33401589],[ 0.06314514 -0.99800435]
[ 0.03983153 -2.33673126],[ 0.039821   -0.99920683]
[ 0.01646019 -2.33715484],[ 0.01645945 -0.99986453]
[-0.00690392 -2.335287  ],[-0.00690387 -0.99997617]
[-0.03023792 -2.3311316 ],[-0.03023331 -0.99954287]
[-0.05351895 -2.32469599],[-0.05349341 -0.9985682 ]
[-0.07672427 -2.31599098],[-0.07664902 -0.99705814]
[-0.09983126 -2.30503077],[-0.09966551 -0.995021  ]
[-0.12281743 -2.29183295],[-0.1225089  -0.99246742]
[-0.14566052 -2.27641835],[-0.14514599 -0.98941025]
[-0.16833849 -2.258811  ],[-0.16754456 -0.9858645 ]
[-0.19082953 -2.23903803],[-0.18967343 -0.98184723]
[-0.21311213 -2.21712951],[-0.21150264 -0.97737743]
[-0.23516511 -2.19311839],[-0.23300355 -0.97247588]
[-0.25696761 -2.16704029],[-0.2541489 -0.9671651]
[-0.27849915 -2.13893344],[-0.27491294 -0.96146912]
