[ 0.00368934 -0.04062994],[ 0.00368933 -0.99999319]
[ 0.04196781 -0.16683665],[ 0.04195549 -0.99911948]
[-0.00081264  0.02406576],[-8.1263629e-04 -9.9999967e-01]
[-0.1769724  -0.03702868],[-0.17605007 -0.98438121]
[0.07227127 0.22749039],[ 0.07220837 -0.99738957]
[-0.02080277 -0.01752269],[-0.02080127 -0.99978363]
[ 0.00284507 -0.11413263],[ 0.00284506 -0.99999595]
[ 0.00179358 -0.02764866],[ 0.00179358 -0.99999839]
[-0.06419879 -0.52532843],[-0.0641547  -0.99793997]
[0.01209628 0.04440751],[ 0.01209599 -0.99992684]
[ 0.00461791 -0.06809216],[ 0.00461789 -0.99998934]
[-0.00187777 -0.02198002],[-0.00187777 -0.99999824]
[-0.02761291  0.0696688 ],[-0.0276094  -0.99961879]
[-0.02434792  0.04959895],[-0.02434551 -0.9997036 ]
[-0.01066404  0.00125318],[-0.01066384 -0.99994314]
[ 0.43694381 -0.48691689],[ 0.42317239 -0.90604919]
[-0.06817462  0.12654773],[-0.06812182 -0.99767701]
[0.00796004 0.03537901],[ 0.00795996 -0.99996832]
[-0.01592785 -0.00197753],[-0.01592718 -0.99987315]
[-0.61651386 -0.79085485],[-0.57819434 -0.81589908]
[0.34093368 0.08865135],[ 0.33436718 -0.94244288]
[ 0.008257   -0.01835704],[ 0.00825691 -0.99996591]
[-0.00223689 -0.07590406],[-0.00223689 -0.9999975 ]
[0.00149266 0.03557194],[ 0.00149266 -0.99999889]
[0.0834603  0.00337118],[ 0.08336344 -0.99651921]
[-0.00207126  0.01885281],[-0.00207126 -0.99999785]
[-0.22144163  0.45366341],[-0.21963627 -0.97558183]
[-0.00423139 -0.03504324],[-0.00423138 -0.99999105]
[ 0.02778093 -0.17032229],[ 0.02777735 -0.99961413]
[-0.02093801  0.15061316],[-0.02093648 -0.99978081]
[-0.03002088  0.07889771],[-0.03001637 -0.99954941]
[-0.05717448  0.64240571],[-0.05714334 -0.99836598]
[-0.01342026  0.17572763],[-0.01341986 -0.99990995]
[ 0.01082477 -0.08820276],[ 0.01082455 -0.99994141]
[-0.00340499 -0.93965883],[-0.00340498 -0.9999942 ]
[0.12440161 0.02863561],[ 0.12408099 -0.99227209]
[-0.00300971 -0.08368772],[-0.0030097  -0.99999547]
[0.01636429 0.0113702 ],[ 0.01636356 -0.99986611]
[0.07618594 0.10722286],[ 0.07611226 -0.99709925]
[-0.03214114  0.28191942],[-0.03213561 -0.99948352]
[ 0.00870056 -0.08090622],[ 0.00870045 -0.99996215]
[0.24355871 0.42818967],[ 0.24115782 -0.97048591]
[0.0174619  0.05671264],[ 0.01746102 -0.99984754]
[-0.03850963 -0.02494941],[-0.03850011 -0.9992586 ]
[ 0.00232393 -0.12626895],[ 0.00232393 -0.9999973 ]
[-0.00619819  0.01106417],[-0.00619815 -0.99998079]
[ 0.11071435 -0.25545118],[ 0.1104883  -0.99387742]
[-6.46236886e-03  2.05323909e-05],[-0.00646232 -0.99997912]
[ 0.07602685 -0.16263119],[ 0.07595363 -0.99711135]
[-0.00769321  0.0055851 ],[-0.00769314 -0.99997041]
